0,Old Fashioned
1,Whisky Sour
2,Dark and Stormy
3,Manhattan
4,Screaming Orgasm
5,Cosmopolitan
6,Long Island Iced Tea
7,Martini
8,Gin and Tonic
9,Margarita
10,Moscow Mule
11,Bloody Mary
12,Rum and Coke
13,Pina Colada
14,Kamikaze
15,Orgasm
16,White Russian
17,Screwdriver
18,Irish Coffee
19,Flaming Dr. Pepper
20,Vodka and Red Bull
